ID,Category,Price,Size,State,Brand,Colors,Amount_Of_Pictures,Ratio
841147011,Dress,29.0,M / 38 / 10,Very good,Vintage,Beige,3,5.7
841212517,Suit,30.0,S / 36 / 8,Very good,Vintage,Black,4,8.884615384615385
836855778,Sweater,15.0,M / 38 / 10,Very good,Vintage,White,1,4.15
836637612,Jacket,165.0,M / 38 / 10,Very good,genuine leather,Black,8,19.77777777777778
841235285,Jacket,60.0,M / 38 / 10,Very good,Dolce & Gabbana,Light blue,6,10.444444444444445
841244965,Blouse,12.0,M / 38 / 10,Good,Vintage,Rose,2,3.75
841222428,Dress,29.0,S / 36 / 8,Very good,Vintage,White,3,8.625
841155804,Top,15.0,S / 36 / 8,Good,MarcCain,Brown,2,5.0
840557734,Top,10.0,S / 36 / 8,Good,FILA,White,4,11.5
840553063,Cardigan,12.0,M / 38 / 10,Very good,Vintage,Pink,3,8.428571428571429
836908539,Jacket,10.0,S / 36 / 8,Very good,Vintage,White,3,15.0
836898691,Skirt,12.0,L / 40 / 12,Very good,Vintage,Black,4,8.0
836879751,Skirt,10.0,M / 38 / 10,Very good,Vintage,Brown,6,6.090909090909091
836866468,Dress,35.0,M / 38 / 10,Very good,original vintage,Brown,3,0.0
836707608,Boots,25.0,40,Good,Tamaris,Brown,3,9.0
475374116,Dress,15.0,M / 38 / 10,Good,Vintage,Blue,3,14.666666666666666
475370130,Mens Jacket,20.0,L,Very good,FILA,Blue,2,22.0
837861883,Hat,7.5,,Very good,Vintage,Red,3,9.142857142857142
837845787,Top,15.0,M / 38 / 10,Very good,Vintage,Blue,3,7.466666666666667
837797811,Dress,10.0,M / 38 / 10,Very good,Zara,Blue,5,25.0
837788954,Pants,10.0,M / 38 / 10,New with tags,H&M,Rose,4,33.666666666666664
837776437,Sweater,10.0,L / 40 / 12,Very good,Vintage,Multi,5,inf
837743483,Dress,10.0,S / 36 / 8,Good,Vintage,Purple,2,13.6
837720529,Coat,10.0,XXL / 44 / 16,Very good,H&M,Beige,4,9.0
837707238,Dress,20.0,M / 38 / 10,Very good,Vintage,White,3,14.857142857142858
837697214,Dress,7.5,S / 36 / 8,New without tags,M,Red,3,83.33333333333333
837660334,Dress,7.5,XXL / 44 / 16,Very good,H&M,Black,2,6.0
837647448,Dress,7.5,S / 36 / 8,Very good,Miss Selfridge,Red,3,3.8461538461538463
837622226,Dress,20.0,S / 36 / 8,New with tags,H&M,Navy,4,inf
837611546,Top,5.0,M / 38 / 10,Very good,Vintage,Burgundy,2,26.666666666666668
837587558,Dress,25.0,S / 36 / 8,Good,Morgan,Multi,7,30.0
837567552,Jacket,45.0,XS / 34 / 6,Very good,sandwich,Grey,5,19.0
837548822,Coat,25.0,S / 36 / 8,Very good,Maura,Dark green,6,4.352941176470588
837521065,Jacket,45.0,XS / 34 / 6,Very good,Danier,Black,7,inf
837494141,Jacket,35.0,S / 36 / 8,Good,Goosecraft,Red,5,18.5
837477167,Dress,15.0,XS / 34 / 6,Very good,Claudia Ghizzani,Black,5,32.0
837466779,Top,7.5,S / 36 / 8,Good,Vintage,Burgundy,3,39.0
837443626,Sneakers,20.0,38,Satisfactory,Adidas,Blue,3,19.5
837434736,Top,5.0,S / 36 / 8,Very good,Vintage,Pink,1,16.666666666666668
837420654,Jacket,10.0,M / 38 / 10,Good,Vintage,Yellow,3,7.666666666666667
837301591,Skirt,25.0,M / 38 / 10,New with tags,Vanilia,Multi,3,14.333333333333334
837290471,Blouse,3.0,M / 38 / 10,Very good,Sfera,Orange,2,inf
837280526,Top,3.0,L / 40 / 12,Very good,Bershka,Multi,2,17.0
837269782,Blouse,3.0,M / 38 / 10,Very good,Primark,Black,2,inf
837250868,Top,5.0,S / 36 / 8,Very good,Abercrombie & Fitch,Grey,2,inf
837216155,Pants,5.0,M / 38 / 10,Good,Zara,Brown,1,inf
837205106,Skirt,5.0,M / 38 / 10,Very good,Zara,Yellow,2,inf
837196052,Skirt,5.0,M / 38 / 10,Very good,Bershka,Black,3,5.5
837186023,Jeans,5.0,S / 36 / 8,Very good,G-maxx,Blue,2,13.0
837174885,Jeans,5.0,M / 38 / 10,Very good,Seven Sisters,Grey,2,inf
837151215,Boots,10.0,42,Very good,Sacha,Pink,1,6.714285714285714
837132404,Sweater,5.0,S / 36 / 8,Very good,Noisy may,Black,2,inf
837100964,Blouse,4.0,M / 38 / 10,Very good,Vintage,Blue,1,5.8
837089055,Jacket,10.0,M / 38 / 10,Very good,Vintage,Brown,1,18.666666666666668
837032986,Jeans,5.0,M / 38 / 10,Good,Hollister,Blue,2,11.666666666666666
837017867,Jeans,7.5,M / 38 / 10,Very good,SILVER CREEK,Blue,2,5.0
837004825,Pants,7.5,M / 38 / 10,Very good,Stradivarius,Brown,3,inf
836992193,Jeans,10.0,M / 38 / 10,Very good,rich & royal,Blue,3,inf
843822190,Dress,9.0,S / 36 / 8,Very good,Vintage,Brown,2,10.0
843817162,Suit,6.0,M / 38 / 10,Very good,Vintage,Black,3,2.75
843813930,Dress,9.9,XS / 34 / 6,Very good,Vintage,Brown,2,4.0
836584207,Dress,24.9,L / 40 / 12,Very good,Vintage,Blue,4,9.777777777777779
836575227,Skirt,12.9,XS / 34 / 6,Very good,Vintage,Brown,3,23.333333333333332
